73	h5nc	49																												
Comment	Index	FaceIndex	SIID	Collision_W	Collision_H	Flag	StandFrame	RightPreFrame	RightFrame	LeftPreFrame	LeftFrame	AttackPreFrame	AttackFrame	StorePreFrame	StoreFrame	NMaxSet	Nmax	EffID	ShotEffID	CollapseEffID	EXPoint	GhostPoint	BulletPoint	SpellPoint	BlastMaxtime	BlastR	BlastPower	BlastDamageRate	Name	Ename
#		Boss(0~31)																												
-	0	0	SI_Boss_Reimu_0	16	24	1007	4	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	≤©˚ê°§ÎëâÙ	Hakurei Reimu
-	1	1	SI_Boss_Marisa_0	16	24	1007	4	3	1	0	0	0	1	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	ÏF”Í°§ƒß¿Ì…≥	Kirisame Marisa
-	2	2	SI_Boss_Sakuya_0	16	24	1007	4	3	1	0	0	0	0	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	 Æ¡˘“π°§ÜD“π	Izayoi Sakuya
-	3	3	SI_Boss_Youmu_0	16	24	1007	4	3	1	3	1	4	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	ªÍ∆«°§—˝âÙ	Konpaku Youmu
-	4	4	SI_Boss_Aya_0	16	24	1007	4	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	…‰√¸ÕË°§Œƒ	Syameimaru Aya
-	5	5	SI_Boss_Yuyuko_0	16	24	1007	2	3	1	0	0	0	0	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	Œ˜––À¬°§”ƒ°©◊”	Saigyouzi Yuyuko
-	6	6	SI_Boss_Medicine_0	16	24	1007	4	3	1	0	0	0	0	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	•·•«•£•π•Û°§•·•È•Û•≥•Í©`	Medicine Melancholy
-	7	7	SI_Boss_Cirno_0	16	24	1007	4	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	•¡•Î•Œ	Cirno
-	8	8	SI_Boss_Lyrica_0	16	24	1007	1	1	1	0	0	0	3	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	•Í•Í•´°§•◊•Í•∫•‡•Í•–©`	Lyrica Prismriver
-	9	9	SI_Boss_Mystia_0	16	24	1007	4	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	•ﬂ•π•∆•£•¢°§•Ì©`•Ï•È•§	Mystia Lorelei
-	10	10	SI_Boss_Marlin_0	16	24	1007	2	2	1	0	0	0	2	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	•·•Î•È•Û°§•◊•Í•∫•‡•Í•–©`	Marlin Prismriver
-	11	11	SI_Boss_Lunasa_0	16	24	1007	1	1	1	0	0	0	2	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	•Î• •µ°§•◊•Í•∫•‡•Í•–©`	Lunasa Prismriver
-	12	12	SI_Boss_Tei_0	16	24	1007	4	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	“Ú·¶°§§∆§	Inaba Tei
-	13	13	SI_Boss_Yuka_0	16	24	1007	4	3	1	0	0	0	3	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	ÔL“ä°§”ƒœ„	Kazami Yuka
-	14	14	SI_Boss_Reisen_0	16	24	1007	4	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	‚èœ…°§Éûï“»A‘∫°§•§• •–	Reisen Udongein Inaba
-	15	15	SI_Boss_Alice_0	16	24	1007	1	4	1	0	0	0	3	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	•¢•Í•π°§•ﬁ©`•¨•»•Ì•§•…	Alice Margatroid
-	16	16	SI_Boss_Yamaxanadu_0	16	24	1007	4	3	1	0	0	0	1	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	Àƒºæ”≥ä™°§•‰•ﬁ•∂• •…••	Shikieiki Yamaxanadu
-	17	17	SI_Boss_Komachi_0	16	24	1007	4	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	–°“∞âV°§–°ÓÆ	Onozuka Komachi
-	18	18	SI_Boss_Remilia_0	16	24	1007	1	1	1	0	0	3	1	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	•Ï•ﬂ•Í•¢°§•π•´©`•Ï•√•»	Remilia Scarlet
-	19	19	SI_Boss_ReimuII_0	16	24	1007	4	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	•œ•Ø•Ï•§°§•Ï•§•‡	Hakurei Reimu
-	20	20	SI_Boss_MarisaII_0	16	24	1007	4	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	•≠•Í•µ•·°§•ﬁ•Í•µ	Kirisame Marisa
-	21	21	SI_Boss_Yukari_0	16	24	1007	1	2	1	2	1	0	2	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	∞ÀÎÖ°§◊œ	Yakumo Yukari
-	22	22	SI_Boss_Sanae_0	16	24	1007	4	3	1	0	0	0	3	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	ñ|ÔLπ»°§‘Á√Á	Kotiya Sanae
-	23	23	SI_Boss_Hatate_0	16	24	1007	4	3	1	0	0	0	4	0	0	6	1	0	31	36	1	-1	-1	-1	0	0	0	1	ä™∫£Ãƒ°§§œ§ø§∆	Himekaidou Hatate
#		Enemy(32~36)																												
