73	h5nc	53	
Comment	Index	Texture	
-	0	Graphic/Other/white.png	
-	2	Graphic/Sprite/Bullet/bullet.png	
-	3	Graphic/Sprite/Ghost/ghost.png	
-	4	Graphic/Sprite/Enemy/enemy.png	
-	6	Graphic/Other/front.png	
-	7	Graphic/Other/selectitem.png	
#		Player(10~59)	
-	10	Graphic/Sprite/Player/Player/pl_01.png	
-	11	Graphic/Sprite/Player/Player/pl_02.png	
-	12	Graphic/Sprite/Player/Player/pl_03.png	
-	13	Graphic/Sprite/Player/Player/pl_04.png	
-	14	Graphic/Sprite/Player/Player/pl_05.png	
-	15	Graphic/Sprite/Player/Player/pl_06.png	
-	16	Graphic/Sprite/Player/Player/pl_07.png	
-	17	Graphic/Sprite/Player/Player/pl_08.png	
-	18	Graphic/Sprite/Player/Player/pl_09.png	
-	19	Graphic/Sprite/Player/Player/pl_10.png	
-	20	Graphic/Sprite/Player/Player/pl_11.png	
-	21	Graphic/Sprite/Player/Player/pl_12.png	
-	22	Graphic/Sprite/Player/Player/pl_13.png	
-	23	Graphic/Sprite/Player/Player/pl_14.png	
-	24	Graphic/Sprite/Player/Player/pl_15.png	
-	25	Graphic/Sprite/Player/Player/pl_16.png	
-	26	Graphic/Sprite/Player/Player/pl_17.png	
-	27	Graphic/Sprite/Player/Player/pl_18.png	
-	28	Graphic/Sprite/Player/Player/pl_19.png	
-	29	Graphic/Sprite/Player/Player/pl_20.png	
-	30	Graphic/Sprite/Player/Player/pl_21.png	
-	31	Graphic/Sprite/Player/Player/pl_22.png	
-	32	Graphic/Sprite/Player/Player/pl_23.png	
-	33	Graphic/Sprite/Player/Player/pl_24.png	
#		PlayerEx(50~109)	
-	50	Graphic/Sprite/Player/Player/pl_01_ex.png	
-	51	Graphic/Sprite/Player/Player/pl_02_ex.png	
-	53	Graphic/Sprite/Player/Player/pl_04_ex.png	
-	54	Graphic/Sprite/Player/Player/pl_05_ex.png	
-	56	Graphic/Sprite/Player/Player/pl_07_ex.png	
-	63	Graphic/Sprite/Player/Player/pl_14_ex.png	
-	64	Graphic/Sprite/Player/Player/pl_15_ex.png	
-	66	Graphic/Sprite/Player/Player/pl_17_ex.png	
-	71	Graphic/Sprite/Player/Player/pl_22_ex.png	
-	73	Graphic/Sprite/Player/Player/pl_24_ex.png	
-	82	Graphic/Sprite/Player/Player/pl_15_ex_2.png	
#		Face(110~159)	
-	110	Graphic/Sprite/Face/face_01.png	
-	111	Graphic/Sprite/Face/face_02.png	
-	112	Graphic/Sprite/Face/face_03.png	
-	113	Graphic/Sprite/Face/face_04.png	
-	114	Graphic/Sprite/Face/face_05.png	
-	115	Graphic/Sprite/Face/face_06.png	
-	116	Graphic/Sprite/Face/face_07.png	
-	117	Graphic/Sprite/Face/face_08.png	
-	118	Graphic/Sprite/Face/face_09.png	
-	119	Graphic/Sprite/Face/face_10.png	
-	120	Graphic/Sprite/Face/face_11.png	
-	121	Graphic/Sprite/Face/face_12.png	
-	122	Graphic/Sprite/Face/face_13.png	
-	123	Graphic/Sprite/Face/face_14.png	
-	124	Graphic/Sprite/Face/face_15.png	
-	125	Graphic/Sprite/Face/face_16.png	
-	126	Graphic/Sprite/Face/face_17.png	
-	127	Graphic/Sprite/Face/face_18.png	
-	128	Graphic/Sprite/Face/face_19.png	
-	129	Graphic/Sprite/Face/face_20.png	
-	130	Graphic/Sprite/Face/face_21.png	
-	131	Graphic/Sprite/Face/face_22.png	
-	132	Graphic/Sprite/Face/face_23.png	
-	133	Graphic/Sprite/Face/face_24.png	
#		Boss(160~209)	
-	160	Graphic/Sprite/Boss/boss_01.png	
-	161	Graphic/Sprite/Boss/boss_02.png	
-	162	Graphic/Sprite/Boss/boss_03.png	
-	163	Graphic/Sprite/Boss/boss_04.png	
-	164	Graphic/Sprite/Boss/boss_05.png	
-	165	Graphic/Sprite/Boss/boss_06.png	
-	166	Graphic/Sprite/Boss/boss_07.png	
-	167	Graphic/Sprite/Boss/boss_08.png	
-	168	Graphic/Sprite/Boss/boss_09.png	
-	169	Graphic/Sprite/Boss/boss_10.png	
-	170	Graphic/Sprite/Boss/boss_11.png	
-	171	Graphic/Sprite/Boss/boss_12.png	
-	172	Graphic/Sprite/Boss/boss_13.png	
-	173	Graphic/Sprite/Boss/boss_14.png	
-	174	Graphic/Sprite/Boss/boss_15.png	
-	175	Graphic/Sprite/Boss/boss_16.png	
-	176	Graphic/Sprite/Boss/boss_17.png	
-	177	Graphic/Sprite/Boss/boss_18.png	
-	178	Graphic/Sprite/Boss/boss_19.png	
-	179	Graphic/Sprite/Boss/boss_20.png	
-	180	Graphic/Sprite/Boss/boss_21.png	
-	181	Graphic/Sprite/Boss/boss_22.png	
-	182	Graphic/Sprite/Boss/boss_23.png	
-	183	Graphic/Sprite/Boss/boss_24.png	
#		BossEx(210~259)	
-	215	Graphic/Sprite/Boss/boss_06_ex.png	
-	233	Graphic/Sprite/Boss/boss_24_ex.png	
#		PlayerSpellCutIn(260~309)	
-	260	Graphic/Sprite/Player/SpellCutIn/pl_01_cutin.png	
-	261	Graphic/Sprite/Player/SpellCutIn/pl_02_cutin.png	
-	262	Graphic/Sprite/Player/SpellCutIn/pl_03_cutin.png	
-	263	Graphic/Sprite/Player/SpellCutIn/pl_04_cutin.png	
-	264	Graphic/Sprite/Player/SpellCutIn/pl_05_cutin.png	
-	265	Graphic/Sprite/Player/SpellCutIn/pl_06_cutin.png	
-	266	Graphic/Sprite/Player/SpellCutIn/pl_07_cutin.png	
-	267	Graphic/Sprite/Player/SpellCutIn/pl_08_cutin.png	
-	268	Graphic/Sprite/Player/SpellCutIn/pl_09_cutin.png	
-	269	Graphic/Sprite/Player/SpellCutIn/pl_10_cutin.png	
-	270	Graphic/Sprite/Player/SpellCutIn/pl_11_cutin.png	
-	271	Graphic/Sprite/Player/SpellCutIn/pl_12_cutin.png	
-	272	Graphic/Sprite/Player/SpellCutIn/pl_13_cutin.png	
-	273	Graphic/Sprite/Player/SpellCutIn/pl_14_cutin.png	
-	274	Graphic/Sprite/Player/SpellCutIn/pl_15_cutin.png	
-	275	Graphic/Sprite/Player/SpellCutIn/pl_16_cutin.png	
-	276	Graphic/Sprite/Player/SpellCutIn/pl_17_cutin.png	
-	277	Graphic/Sprite/Player/SpellCutIn/pl_18_cutin.png	
-	278	Graphic/Sprite/Player/SpellCutIn/pl_19_cutin.png	
-	279	Graphic/Sprite/Player/SpellCutIn/pl_20_cutin.png	
-	280	Graphic/Sprite/Player/SpellCutIn/pl_21_cutin.png	
-	281	Graphic/Sprite/Player/SpellCutIn/pl_22_cutin.png	
-	282	Graphic/Sprite/Player/SpellCutIn/pl_23_cutin.png	
-	283	Graphic/Sprite/Player/SpellCutIn/pl_24_cutin.png	
#		PlayerDrainZone(310~359)	
-	310	Graphic/Sprite/Player/DrainZone/pl_01_drain.png	
-	311	Graphic/Sprite/Player/DrainZone/pl_02_drain.png	
-	312	Graphic/Sprite/Player/DrainZone/pl_03_drain.png	
-	313	Graphic/Sprite/Player/DrainZone/pl_04_drain.png	
-	315	Graphic/Sprite/Player/DrainZone/pl_06_drain.png	
-	316	Graphic/Sprite/Player/DrainZone/pl_07_drain.png	
-	318	Graphic/Sprite/Player/DrainZone/pl_09_drain.png	
-	322	Graphic/Sprite/Player/DrainZone/pl_13_drain.png	
-	323	Graphic/Sprite/Player/DrainZone/pl_14_drain.png	
-	325	Graphic/Sprite/Player/DrainZone/pl_16_drain.png	
-	328	Graphic/Sprite/Player/DrainZone/pl_19_drain.png	
#		Other(360~459)	
-	360	Graphic/Scene/title.png	
-	361	Graphic/Scene/select.png	
-	362	Graphic/Scene/replay.png	
#		Effect(460~569)	
#		Scene(560~659)	
-	560	Graphic/Scene/Scene/scene_01_1.png	
-	561	Graphic/Scene/Scene/scene_01_2.png	
-	562	Graphic/Scene/Scene/scene_03_1.png	
-	564	Graphic/Scene/Scene/scene_03_3.png	
-	565	Graphic/Scene/Scene/scene_03_4.png	
-	567	Graphic/Scene/Scene/scene_04_1.png	
-	569	Graphic/Scene/Scene/scene_04_3.png	
-	570	Graphic/Scene/Scene/scene_04_4.png	
-	571	Graphic/Scene/Scene/scene_05_1.png	
-	572	Graphic/Scene/Scene/scene_05_2.png	
-	573	Graphic/Scene/Scene/scene_06_1.png	
-	574	Graphic/Scene/Scene/scene_06_2.png	
-	575	Graphic/Scene/Scene/scene_06_3.png	
-	576	Graphic/Scene/Scene/scene_06_4.png	
-	577	Graphic/Scene/Scene/scene_07_1.png	
-	578	Graphic/Scene/Scene/scene_07_2.png	
-	579	Graphic/Scene/Scene/scene_08.png	
-	580	Graphic/Scene/Scene/scene_09_1.png	
-	581	Graphic/Scene/Scene/scene_09_2.png	
-	582	Graphic/Scene/Scene/scene_10_1.png	
-	583	Graphic/Scene/Scene/scene_10_2.png	
-	584	Graphic/Scene/Scene/scene_10_3.png	
-	586	Graphic/Scene/Scene/scene_14_1.png	
-	587	Graphic/Scene/Scene/scene_14_2.png	
-	588	Graphic/Scene/Scene/scene_15_1.png	
-	589	Graphic/Scene/Scene/scene_15_2.png	
-	590	Graphic/Scene/Scene/scene_15_3.png	
-	591	Graphic/Scene/Scene/scene_15_4.png	
-	592	Graphic/Scene/Scene/scene_16_1.png	
-	593	Graphic/Scene/Scene/scene_16_2.png	
-	594	Graphic/Scene/Scene/scene_16_3.png	
-	595	Graphic/Scene/Scene/scene_16_4.png	
-	596	Graphic/Scene/Scene/scene_17_1.png	
-	597	Graphic/Scene/Scene/scene_17_2.png	
-	598	Graphic/Scene/Scene/scene_18_1.png	
-	599	Graphic/Scene/Scene/scene_18_2.png	
-	600	Graphic/Scene/Scene/scene_18_3.png	
-	601	Graphic/Scene/Scene/scene_19_1.png	
-	602	Graphic/Scene/Scene/scene_19_2.png	
-	603	Graphic/Scene/Scene/scene_19_3.png	
-	604	Graphic/Scene/Scene/scene_22_1.png	
-	606	Graphic/Scene/Scene/scene_22_3.png	
-	607	Graphic/Scene/Scene/scene_22_4.png	
